Year,Month,Day,Date,Carapetyan Address,Carapetyan Country,Sender,Recipient,Substance of Correspondence,Archive,Archival Signature,Notes
1977,8,6,1977-8-6,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Bonnie Blackburn,"""Yes, there have been book-length Introductions as Perkins', which I had 'pruned', but by a strange circumstance, too long to tell, the revised version got exchanged with the original version.""",Private,Bonnie Blackburn,
1977,8,6,1977-8-6,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Edward Lowinsky,"The transfer of duties to Hänssler Verlag requires a division of labor, and Hänssler would have to take charge of production post-proofs. Each series needs a general editor. The main challenge (to be assumed by Frank D'Accone) is editing CMM. Gilbert Reaney will edit CSM; Charles Hamm, RMS; CEKM had Willi Apel, who is now now retired; MISC is closed, and Carapetyan would like to close MD.","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1977,8,6,1977-8-6,44 Via San Leonardo 50125 Florence,Italy,Harriette Carapetyan,Margaret Grout,Carapetyan is considering moving to the Southwest United States for better weather.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1977,8,19,1977-8-19,44 Via San Leonardo 50125 Florence,Italy,Edward Lowinsky,Armen Carapetyan,"Lowinsky sends postscript about which ""Hamlet"" Lowinsky was referencing.","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1977,8,23,1977-8-23,,,Harriette Carapetyan,Edward Lowinsky and Bonnie Blackburn,Carapetyan objects to the end of summer.,Private,Bonnie Blackburn,
1977,9,24,1977-9-24,,,Bonnie Blackburn,Armen Carapetyan,Blackburn enthusiastically approves of Carapetyan's sample page for the Johannes Lupi edition.,Private,Bonnie Blackburn,
1977,9,28,1977-9-28,44 Via San Leonardo 50125 Florence,Italy,Edward Lowinsky,Armen Carapetyan,"Lowinsky asks for help bringing out Laurence Feininger's enormous literary estate, for which Ludwig Finscher also had interest. Of the successors for the various series that Carapetyan mentions, ""none of them has the caliber of the man they are supposed to succeed... [Frank] D'Accone, industrious and intelligent, lacks your vision. My good friend Charles Hamm, a marvelously sweet person, is neither exact nor exacting enough, as you will see in the criticism that I had to direct to his address toward the end of my AMS article and in a lengthy footnote in the Feininger article. [Gilbert] Reaney will do a competent job in editing the CSM series. I should be sincerely sorry if MD were to be terminated.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1977,11,17,1977-11-17,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Bonnie Blackburn,"""Now we are leaving the printers in Holland who have become too slow, too exorbitant, and too slovenly, losing manuscripts or parts of them and causing all sorts of trouble… Your manuscript and a number of others have gone to new printers in Germany. They must be tamed and trained""; ""Places considered [for living]: South Africa, despite the doghoused moment of the country; even New Zealand to ""duck"" part of the winter; Arizona, which we know well; Eilat, Israel""; ""Today's mail includes 7 (seven) packets of proofs and [manuscripts]....""",Private,Bonnie Blackburn,
1977,11,17,1977-11-17,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Edward Lowinsky,"Carapetyan thinks that [Joseph] Kerman's criticism is decidedly one-sided; ""Josquin [des Prez] completely captivated me very early in my experience in musicology… this too was shelved… as far as I am concerned, Josquin had a tiny and insignificant outlet through a few talks during the first summer session I organized at the American Academy in Rome, 1947""; ""I met Feininger late in 1946... when I presented myself at the Vatican library for permit to work there... it was a fateful, almost fatal, meeting; for out of it came also meeting [Guillaume] de Van, which led to untold troubles, very costly in every sense. I was too innocent then, while the human condition as what it always has been and will be... [Laurence] Feininger had those days a good deal to do with de Van, but he escaped entanglement with that evil genius, and a genius he was.""; ""Your closing comment on [Costanzo] Festa on preference of 'one's own opinion to another man's evidence' reminds me of [Alfred] Einstein's comment to me (put rather vehently [sic.] for him) upon reading something of [Leo] Schrade's (I think his piece on Bach in a celebration volume to [Albert] Schweitzer?): 'Schrade is a man who prefers his own opinions to historical facts.'""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Series 1, Box 7, Folder 5",
1977,12,29,1977-12-29,44 Via San Leonardo 50125 Florence,Italy,Edward Lowinsky,Armen Carapetyan,"""Now that the Josquin [des Prez] proceedings are finally out, I am working on the handbook of the records of the four concerts of Josquin's works that presented the festival part of the occasion, and Oxford University press is breathing down my neck.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Series 1, Box 7, Folder 5",
1978,1,2,1978-1-2,,,Bonnie Blackburn,Armen Carapetyan,Blackburn is disappointed that the engraving of the Johannes Lupi editon has been postponed; she asks if Carapetyan has ever worked with English printers (Blackburn and Edward Lowinsky have had good experiences).,Private,Bonnie Blackburn,
1978,2,1,1978-2-1,,,Armen Carapetyan,Edward Lowinsky,Carapetyan is traveling in the Mediterranean.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Series 1, Box 7, Folder 5",
1978,3,21,1978-3-21,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Edward Lowinsky,"Carapetyan will begin transferring CMM to Frank D'Accone during this year; he viewed D'Accone as the best among his options. Although Carapetyan wanted to see the Johannes Lupi edition completed, it was coming at an inopportune time. Peter Thalheimer is in charge of AIM publications. Carapetyan is considering a move to the drier climates of either Spain or Arizona.","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Series 1, Box 7, Folder 5",
1978,4,4,1978-4-4,44 Via San Leonardo 50125 Florence,Italy,Eileen Southern,Armen Carapetyan,Southern inquires about her mansucript of Escorial IV.a.24 and asks about a discount in purchasing items from AIM.,"Columbia College Chicago, Center for Black Music Research","Eileen Southern Collection, Box 38, Folder 41",
1978,4,12,1978-4-12,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Donald J. Grout,Carapetyan is thinking of moving to Spain or the southwest United States.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1978,4,24,1978-4-24,,,Donald J. Grout,Armen Carapetyan,"Grout is working on a third edition of ""A History of Western Music.""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1978,4,27,1978-4-27,44 Via San Leonardo 50125 Florence,Italy,Hellmut Federhofer,Armen Carapetyan,"A wonderful article by Mary Beth Winn Marvin came to ""Acta Musicologica,"" but Ludwig Finscher does not want small contributions any longer; with permission of the author, he sends the article to MD.","Universität Mainz, Institut für Kunstgeschichte und Musikwissenschaft","Hellmut Federhofer-Acta Musicologica Collection, C",
1978,6,22,1978-6-22,,,Bonnie Blackburn,Armen Carapetyan,"The proofs for the first volume of the Johannes Lupi collected-works edition have been returned with five hundred corrections (mostly ""errors of omission... rather than of comission"").",Private,Bonnie Blackburn,
1978,6,22,1978-6-22,44 Via San Leonardo 50125 Florence,Italy,Edward Lowinsky,Armen Carapetyan,"Lowinsky is a big fan of Murray Bradshaw's ""The History of the Falsobordone""; Lowinsky recognizes that ""our personal contact has come late in life.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1978,7,19,1978-7-19,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Hellmut Federhofer,"""The article by Mary Beth Winn Marvin is not a world-shaking matter, but it is a small emendation to the edition in CMM of Compere's complete works."" Carapetyan accepted the article. He has never met Federhofer. ""My mode of life is paradoxical: too many moves, yet static once we settle in a new residence. Even now we are again to change residence, though we were beautifully settled outside Florence.""","Universität Mainz, Institut für Kunstgeschichte und Musikwissenschaft","Hellmut Federhofer-Acta Musicologica Collection, C",
1979,2,14,1979-2-14,,,Harriette Carapetyan,Margaret and Donald Grout,Carapetyan is leaving for Spain for the winter.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1979,2,15,1979-2-15,,,Armen Carapetyan,Donald J. Grout,Carapetyan is making some progress in disentangling himself from AIM.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1979,4,11,1979-4-11,,,Bonnie Blackburn,Armen Carapetyan,"Proofs have been returned for the introduction for vol. 1 of the Johannes Lupi collected-works edition; ""Your German printers are far more accurate than any American printers we have dealt with.""",Private,Bonnie Blackburn,
1979,4,11,1979-4-11,44 Via San Leonardo 50125 Florence,Italy,Edward Lowinsky,Armen Carapetyan,Lowinsky checks in with Carapetyan and invites him to visit Chicago.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Series 1, Box 7, Folder 5",
1979,6,7,1979-6-7,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Edward Lowinsky,Carapetyan is working on speeding up the publication of the Johannes Lupi edition and getting the second round of proofs to them.,"University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1979,7,25,1979-7-25,Cortijo Grande Turre (Almenia),Spain,Edward Lowinsky,Armen Carapetyan,"Bonnie Blackburn was unhappy to see the announcement of a ""Johannes Lupus"" edition in MD, when she had taken pains to distinguish between the three Lupus figures.","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1979,9,4,1979-9-4,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Edward Lowinsky,"""The rhythm of AIM work has changed since shift of production to H[änssler]-V[erlag]. Now we have a crisis in supply of paper too. (The Arabs & Co. shower us with new blessings every half year!)… [Friedrich] Hänssler is a very good man, but he is in too many things extracurricular to a publisher, though with humane motives."" ""Destination, after we leave here, is as yet only known to the gods, but we keep in touch by telephone with Florence for quick forwarding of mail. We hope of course not to be 'on the road' again... This can easily be accomplished once we have a home again, and that is the overriding problem facing me, not made easy by the national and international conditions, nor by the falling dollar.""","University of Chicago, Hanna Holborn Gray Special Collections Research Center","Edward E. Lowinsky Papers, Series 1, Box 7, Folder 5",
1979,9,20,1979-9-20,,,Armen Carapetyan,Bonnie Blackburn,"""Feeling the irony of having passed production [of the first volume of the Johannes Lupi edition] to H[änssler]-V[erlag] just at this pars.""",Private,Bonnie Blackburn,
1979,12,3,1979-12-3,44 Via San Leonardo 50125 Florence,Italy,Armen Carapetyan,Alvin H. Johnson,"Carapetyan responds to a notice that his membership dues are late, notes that he's been honored by election earlier that year to honorary membership, and encloses a check of $50.",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 2, Folder 80",
